ID,URL,ESTADO,ALCANCE,INSTITUCIÓN,NOMBRE,BENEFICIARIO,INICIO,FIN,MONTO,FECHA_EXTRACCION
260,https://fondos.gob.cl/ficha/prochile/concursoindustriascreativas/,CERRADO,Nacional,Dirección General de Promoción de Exportaciones - ProChile,INDUSTRIAS CREATIVAS,Persona Jurídica,25/07/2024,21/08/2024,Hasta $25.000.000,2024-11-26 10:42:25
261,https://fondos.gob.cl/ficha/mincap/mejoraplandeaccion/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",LLAMADO PARA ACCEDER A CONSULTORÍA PARA LA ELABORACIÓN Y/O MEJORA DE PLAN GESTIÓN Y PROYECTO PROGRAMÁTICO,Persona Jurídica,31/07/2024,20/08/2024,No aplica,2024-11-26 10:42:25
262,https://fondos.gob.cl/ficha/injuv/compromisojoven2024/,CERRADO,Nacional,Instituto Nacional De la Juventud (INJUV),FONDO COMPROMISO JOVEN 2024,Organizaciones,02/08/2024,02/09/2024,Hasta $1.750.000,2024-11-26 10:42:25
263,https://fondos.gob.cl/ficha/mincap/priae2024/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",PROGRAMA DE RESIDENCIAS INTERNACIONALES EN ARTES ESCÉNICAS 2024,Persona Jurídica,07/08/2024,24/09/2024,$15.000.000,2024-11-26 10:42:25
264,https://fondos.gob.cl/ficha/goreatacama/becasiniciativasyartistas/,CERRADO,Regional,Gobierno Regional de Atacama,CONCURSO BECAS INICIATIVAS DE CIENCIA Y ARTISTAS CULTURALES REGIONALES,Organizaciones,09/08/2024,23/08/2024,Hasta $14.000.000,2024-11-26 10:42:25
265,https://fondos.gob.cl/ficha/goreantofagasta/frpd2024antofagasta/,CERRADO,Regional,Gobierno Regional de Antofagasta,FONDO REGIONAL PARA LA PRODUCTIVIDAD Y EL DESARROLLO,Persona Jurídica,09/08/2024,29/08/2024,Entre $2.000.000.000 y $4.000.000.000,2024-11-26 10:42:25
266,https://fondos.gob.cl/ficha/goreantofagasta/frpd-fortaleciemientocapitalhumano/,CERRADO,Nacional,Gobierno Regional de Antofagasta,FRPD - FORTALECIMIENTO DE CAPITAL HUMANO,Persona Jurídica,09/08/2024,29/08/2024,Entre $50.000.000 y $300.000.000,2024-11-26 10:42:25
267,https://fondos.gob.cl/ficha/mincap/fondodellibroylectura-frankfurt/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",CONVOCATORIA PARA LA ASISTENCIA A LA FERIA DE FRANKFURT 2024,Persona Jurídica,12/08/2024,26/08/2024,No aplica,2024-11-26 10:42:25
268,https://fondos.gob.cl/ficha/agcid/contraelhambreylapobreza/,CERRADO,Nacional,Agencia Chilena de cooperacion internacional para el desarrollo (AGCID),FONDO CHILE CONTRA EL HAMBRE Y LA POBREZA,Organizaciones,12/08/2024,04/10/2024,Sin Definir,2024-11-26 10:42:25
269,https://fondos.gob.cl/ficha/mincap/fondomusicac2025/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo de la Música: Apoyo a la Circulación de la Música Chilena 2025 - Primer Llamado,Personas Naturales y Jurídicas,13/08/2024,12/09/2024,Entre $8.000.000 y $15.000.000,2024-11-26 10:42:25
270,https://fondos.gob.cl/ficha/mincap/cedoc-cnac/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",CONVOCATORIA PARA EL 13° CONCURSO DE ENSAYOS SOBRE ARTES VISUALES – CEDOC / CNAC,Persona Natural,14/08/2024,08/10/2024,Hasta $500.000,2024-11-26 10:42:25
271,https://fondos.gob.cl/ficha/sep/fiep2024/,CERRADO,Nacional,Subsecretaría de Educación Parvularia - SEP,FONDO DE INNOVACIÓN DE EDUCACIÓN PARVULARIA -FIEP,Persona Natural,19/08/2024,06/09/2024,Entre $5.000.000 y $15.000.000,2024-11-26 10:42:25
