ID,URL,ESTADO,ALCANCE,INSTITUCIÓN,NOMBRE,BENEFICIARIO,INICIO,FIN,MONTO,FECHA_EXTRACCION,DESCRIPCION,CATEGORIA,WEB
72,https://fondos.gob.cl/ficha/anid/fviiir/,CERRADO,Regional,Agencia Nacional de Investigacion y Desarrollo - ANID,Fomento Vinculación Internacional para Instituciones de Investigación Regionales,Organizaciones,27/07/2022,08/09/2022,$30.000.000,2024-11-26 11:23:38,"Apoyar la generación y fortalecimiento de redes, para consolidar vínculos internacionales, entre instituciones de investigación científica y tecnológica y/o de innovación nacionales e instituciones extranjeras, que aporten con una mirada interdisciplinaria al desarrollo y fortalecimiento de las capacidades de vinculación internacional, de las distintas regiones y macrozonas de Chile.",Investigación y desarrollo,http://www.anid.cl/concursos/
73,https://fondos.gob.cl/ficha/mincap/aaee/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo Nacional de Fomento y Desarrollo de las Artes Escénicas-Concurso General,-,02/08/2022,01/09/2022,-,2024-11-26 11:23:43,"El Fondo Nacional de Fomento y Desarrollo de las Artes Escénicas, creado a partir de la Ley Nº 21.175 de Fomento de las Artes Escénicas, destinará financiamiento parcial o total de programas, proyectos, medidas y acciones de fomento, desarrollo, conservación y salvaguardia de las artes escénicas del país.
Pertenecen a las artes escénicas el teatro, la danza, la ópera, el circo, los títeres y la narración oral, y todas las combinaciones artísticas posibles entre estas disciplinas.",Arte y cultura,https://www.fondosdecultura.cl/convocatorias-abiertas/
74,https://fondos.gob.cl/ficha/mincap/facg/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo de Fomento Audiovisual-Concurso General,-,02/08/2022,15/09/2022,-,2024-11-26 11:23:47,"El Fondo de Fomento Audiovisual financia la producción y distribución de obras cinematográficas, creación de guiones, equipamiento, formación profesional, investigación y difusión de las nuevas tendencias creativas y de innovación tecnológica. Depende del Consejo del Arte y la Industria Audiovisual, y existe a partir de la promulgación de la ley Nº 19.981, en 2004.",Arte y cultura,https://www.fondosdecultura.cl/
75,https://fondos.gob.cl/ficha/mincap/ffmn-concursogeneral/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo de Fomento de la Música Nacional-Concurso General,-,02/08/2022,02/09/2022,-,2024-11-26 11:23:53,"El Consejo de Fomento de la Música Nacional apoya la difusión, promoción y desarrollo de la creación musical y la industria musical chilena a través del Fondo de Fomento de la Música Nacional.",Arte y cultura,https://www.fondosdecultura.cl/convocatorias-abiertas/
76,https://fondos.gob.cl/ficha/mincap/lacmch/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Línea de Apoyo a la Circulación de la Música Chilena - Fondo de Fomento de la Música Chilena,-,02/08/2022,02/09/2022,-,2024-11-26 11:23:57,"La Secretaría de Fomento de la Música Nacional a través de la Línea de Apoyo a la Circulación de la Música Chilena 2022 invita a los distintos agentes del sector a postular proyectos cuyo objetivo sea contribuir al posicionamiento de músicos, mediadores, investigadores y profesionales chilenos en los circuitos nacionales o extranjeros, mediante la difusión de su trabajo y el fomento de generación de redes de intercambio en territorio chileno y en el exterior.",Arte y cultura,https://www.fondosdecultura.cl/fondos/fondo-musica/ventanilla-abierta/linea-de-apoyo-a-la-circulacion-de-la-musica-chilena-2022
77,https://fondos.gob.cl/ficha/mincap/fomentodellibroylalectura-concursogeneral/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo Nacional de Fomento del Libro y la Lectura- Concurso General,-,02/08/2022,08/09/2022,-,2024-11-26 11:24:00,"El objetivo de este Fondo, creado por la Ley 19.227 de 1993, es fomentar y promover proyectos, programas y acciones de apoyo a la creación literaria, la promoción de la lectura, la industria del libro, la difusión de la actividad literaria, el fortalecimiento de las bibliotecas públicas y la internacionalización del libro chileno.",Arte y cultura,https://www.fondosdecultura.cl/fondos/fondo-libro-lectura/lineas-de-concurso/
78,https://fondos.gob.cl/ficha/anid/revistaschilenascientificas/,CERRADO,Nacional,Agencia Nacional de Investigacion y Desarrollo - ANID,Fondo de Publicación de Revistas Científicas Chilenas,Organizaciones,11/08/2022,15/09/2022,Hasta $50.000.000,2024-11-26 11:24:04,El objetivo de la convocatoria es financiar propuestas que instalen en la/las institución/es un conjunto de competencias técnicas en edición científica mediante la formulación de estrategias sustentables para aumentar la calidad y visibilidad de las publicaciones y con parámetros cuantificables de cumplimiento al final de la ejecución del proyecto.,Ciencia y tecnología,http://www.anid.cl/concursos/
79,https://fondos.gob.cl/ficha/mma/fpa2023-proyecto-sustentables-pueblos-indigenas/,CERRADO,Nacional,Ministerio del Medio Ambiente,Fondo de Protección Ambiental 2023 / Proyectos Sustentables para Pueblos Indígenas,Organizaciones,23/08/2022,13/10/2022,$6.000.000,2024-11-26 11:24:11,"Uno de los focos del MMA es promover el trabajo institucional en conjunto con los pueblos indígenas, velando por su adecuado desarrollo social, poniendo énfasis particular en el resguardo de su cultura y cosmovisión. Lo anterior, apoyando proyectos de carácter comunitario y asociativo, que contribuyan a mejorar la calidad ambiental del territorio, a través de la realización de actividades y experiencias demostrativas y replicables que utilicen los recursos disponibles (sociales, culturales, ambientales, económicos, etc.) de manera sustentable, aportando con ello a generar mayor conciencia y valoración de su entorno, promoviendo la educación ambiental y la participación ciudadana, para resolver una necesidad ambiental.",Medio Ambiente,https://fondos.mma.gob.cl/
80,https://fondos.gob.cl/ficha/corfo/radfp/,CERRADO,Nacional,Corporación de Fomento de la Producción - CORFO,RED DE ASISTENCIA DIGITAL FORTALECE PYME- PROYECTO RED,Personas Naturales y Jurídicas,29/08/2022,28/09/2022,Hasta $200.000.000,2024-11-26 11:24:17,"Contribuye a que pymes aumenten sus ingresos y/o mejoren sus niveles de productividad, a través de la adopción y utilización de tecnologías digitales en sus procesos de negocio.",Emprendimiento e Innovación,https://www.corfo.cl/sites/cpp/inf/fortalece-pyme
81,https://fondos.gob.cl/ficha/anid/quimal/,CERRADO,Nacional,Agencia Nacional de Investigacion y Desarrollo - ANID,Convocatoria Fondo QUIMAL-2022,Organizaciones,30/08/2022,06/10/2022,$200.000.000,2024-11-26 11:24:21,"Destinado a apoyar, potenciar y fomentar el desarrollo de la investigación científica astronómica y sus ciencias afines, a través de proyectos con especial énfasis en el diseño y construcción de instrumentación astronómica, el desarrollo de tecnologías afines al quehacer astronómico para realizar investigación de frontera, y procesos de transferencia tecnológica de punta.",Investigación y desarrollo,http://www.anid.cl/concursos/
82,https://fondos.gob.cl/ficha/mma/fpa2023-proyectos-rapanui/,CERRADO,Provincial,Ministerio del Medio Ambiente,Fondo de Protección Ambiental 2023 / Proyectos Rapa Nui Sustentable,Organizaciones,01/09/2022,30/09/2022,$10.000.000,2024-11-26 11:24:24,"El Ministerio del Medio Ambiente, a través del Fondo de Protección Ambiental, financiará iniciativas de carácter comunitario y asociativo, a través de actividades y experiencias demostrativas que permitan aportar a la prevención y valorización de los residuos, promoviendo la educación ambiental y la participación ciudadana en el territorio de Rapa Nui, aportando a mejorar las condiciones ambientales de la Isla, de manera que sea una respuesta a los requerimientos de los habitantes y organizaciones sociales presentes en el territorio, complementando así los proyectos ejecutados en las tres versiones anteriores de este concurso.",Medio Ambiente,https://fondos.mma.gob.cl/
83,https://fondos.gob.cl/ficha/mma/programa-recambio-calefactores-losangeles/,CERRADO,Nacional,Ministerio del Medio Ambiente,Programa de Recambio de Calefactores Los Ángeles,Persona Natural,08/09/2022,21/09/2022,-,2024-11-26 11:24:28,"El objetivo de este Programa es disminuir las emisiones de contaminantes al aire, a través del financiamiento del recambio de artefactos a leña, instalados en viviendas de la comuna de Los Ángeles de la Región utilizados para calefacción de Biobío, por calefactores más eficientes y menos contaminantes.",Medio Ambiente,http://www.recambiodecalefactores.cl/
84,https://fondos.gob.cl/ficha/fia/fia-proyectos-interes-privado/,CERRADO,Nacional,Fundación para la Innovación Agraria (FIA) - Subsecretaría de Agricultura,Convocatoria Nacional de Proyectos de Innovación de interés privado,Organizaciones,13/09/2022,19/10/2022,Hasta $150.000.000,2024-11-26 11:24:32,"El instrumento “Proyectos de Innovación de Interés Privado” apunta directamente a entregar incentivos financieros, para el desarrollo de soluciones innovadoras que busquen contribuir a la solución eficiente de alguno de los desafíos estratégicos de FIA vinculados al sector silvoagropecuario nacional y/o de la cadena agroalimentaria asociada.",Emprendimiento e Innovación,http://www.fia.cl
85,https://fondos.gob.cl/ficha/fia/fia-proyectos-interes-publico/,CERRADO,Nacional,Fundación para la Innovación Agraria (FIA) - Subsecretaría de Agricultura,Convocatoria Nacional Proyectos de Innovación de Interés Público - Etapa 1,Organizaciones,13/09/2022,19/10/2022,Hasta $150.000.000,2024-11-26 11:24:38,"El instrumento “Proyectos de Innovación de Interés Público” apunta directamente a entregar incentivos financieros, para el desarrollo de soluciones innovadoras que busquen resolver problemas o tomar oportunidades asociadas a los desafíos estratégicos de FIA, vinculados al sector silvoagropecuario nacional y/o de la cadena agroalimentaria asociada.",Emprendimiento e Innovación,http://www.fia.cl
86,https://fondos.gob.cl/ficha/mincap/xxiibienalarquitecturayurbanismo/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Concurso para la muestra sobre el tema de la XXII Bienal de Arquitectura y Urbanismo de Chile,-,29/09/2022,24/10/2022,-,2024-11-26 11:24:42,"La Subsecretaría de las Culturas y las Artes del Ministerio de las Culturas, a través de su Área de Arquitectura, y el Colegio de Arquitectos de Chile, anuncian la apertura del concurso para la muestra sobre el tema de la XXII Bienal de Arquitectura y Urbanismo de Chile a realizarse en el país, entre diciembre del 2022 y enero del 2023.

Este concurso está dirigido a arquitectos/as de nacionalidad chilena o extranjeros/as con cédula de identidad otorgada por el Servicio de Registro Civil e Identificación de Chile, que sean mayores de 18 años con experiencia en proyectos curatoriales, editoriales, de investigación o expositivos.

A través de esta convocatoria, se busca seleccionar una propuesta de diseño y ejecución para una muestra relacionada al tema principal de la XXII Bienal de Arquitectura y Urbanismo de Chile: Hábitats vulnerables, que aborde a través de una muestra expositiva las problemáticas en torno al acceso a la vivienda y el déficit habitacional en un contexto nacional donde en los últimos dos años los campamentos, la informalidad y las tomas ilegales de terreno se han incrementado, y que la vulnerabilidad de las ciudades y territorios se expresa en los espacios públicos, el patrimonio o en los asuntos ambientales, entre otros aspectos.",Arte y cultura,http://www.fondosdecultura.cl/
87,https://fondos.gob.cl/ficha/mincap/catalogo-artesania-pandemia/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Convocatoria Catálogo Artesanía en Pandemia,-,06/10/2022,02/11/2022,-,2024-11-26 11:24:47,"Esta convocatoria tiene por objetivo reconocer a artesanos/as que hayan desarrollado su labor creativa en pandemia, superando las dificultades del nuevo contexto, permitiendo la continuidad de sus oficios, y demostrando características de calidad y trayectoria. Este catálogo, busca reconocer a artesanos y artesanas que destaquen por su trayectoria y oficio, que tengan como actividad principal la artesanía. Además, tiene por objeto fomentar la difusión de obras promoviendo a sus autores/as incentivando a seguir creando durante la pandemia, fortaleciendo así su valor cultural, social y económico.",Arte y cultura,https://artesaniaenpandemia.cultura.gob.cl/
88,https://fondos.gob.cl/ficha/fia/fia-estudios/,CERRADO,Nacional,Fundación para la Innovación Agraria (FIA) - Subsecretaría de Agricultura,Convocatoria Nacional de Estudios para la Innovación,Organizaciones,01/11/2022,01/12/2022,Hasta $20.000.000,2024-11-26 11:24:51,"Apoyar la realización de estudios orientados a la resolución de problemas y/o abordar oportunidades en los ámbitos tecnológicos y/o de mercado, para facilitar los procesos de innovación de grupos de empresas y/o asociaciones de productores que tengan un interés común y sean parte del sector silvoagropecuario nacional y/o la cadena agroalimentaria asociada.

Estos estudios para la innovación deben contribuir a la solución eficiente de a lo menos uno de los desafíos estratégicos definidos por FIA.",Agricultura y desarrollo rural,http://www.fia.cl
